pub_date	abstract	keywords	vader_sentiment	trans_sentiment	text-davinci-003_sentiment
2023-01-01 04:00:10	Hours before Russian troops began withdrawing from the suburban town, a Russian soldier left a trail of blood and devastated lives in a last paroxysm of violence.	[{'name': 'glocations', 'value': 'Bucha (Ukraine)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'War Crimes, Genocide and Crimes Against Humanity', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Civilian Casualties', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Russian Invasion of Ukraine (2022)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Defense and Military Forces', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Putin, Vladimir V', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'Kyiv (Ukraine)', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'Russia', 'rank': 8, 'major': 'N'}]	-0.8442	0.9973819851875305	 -0.94
2023-01-01 08:13:40	Kim Jong-un told a Workers’ Party meeting that his country must mass-produce nuclear missiles that could hit South Korea.	[{'name': 'glocations', 'value': 'North Korea', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'South Korea', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Nuclear Weapons', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Missiles and Missile Defense Systems', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Kim Jong-un', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Yoon Suk-yeol', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 7, 'major': 'N'}]	0.4019	0.9871091842651367	 -1.00
2023-01-01 14:04:15	Seasonal greetings from imprisoned opponents offered counterprogramming of a sort to the traditional end-of-year speech from President Vladimir V. Putin of Russia.	[{'name': 'subject', 'value': 'Political Prisoners', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'New Year', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Russian Invasion of Ukraine (2022)', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Demonstrations, Protests and Riots', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Speeches and Statements', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Gorinov, Aleksei', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Kara-Murza, Vladimir V', 'rank': 9, 'major': 'N'}, {'name': 'persons', 'value': 'Navalny, Aleksei A', 'rank': 10, 'major': 'N'}, {'name': 'persons', 'value': 'Putin, Vladimir V', 'rank': 11, 'major': 'N'}, {'name': 'persons', 'value': 'Yashin, Ilya', 'rank': 12, 'major': 'N'}, {'name': 'glocations', 'value': 'Russia', 'rank': 13, 'major': 'N'}]	-0.0516	0.9795621633529663	 0
2023-01-01 16:16:35	Brazil inaugurates its new president, Luiz Inácio Lula da Silva, on Sunday. Facing investigations, former President Jair Bolsonaro has taken refuge in Orlando.	"[{'name': 'persons', 'value': 'Da Silva, Luiz Inacio Lula', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Elections', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Democracy (Theory and Philosophy)', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': ""Workers' Party (Brazil)"", 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Bolsonaro, Jair (1955- )', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Moraes, Alexandre de (1968- )', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'Brazil', 'rank': 8, 'major': 'N'}, {'name': 'glocations', 'value': 'Florida', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Inaugurations', 'rank': 10, 'major': 'N'}]"	0.0	0.953037679195404	 0.00
2023-01-01 18:52:18	Ten months into the war, Ukraine has turned the tide in ground combat, but its cities are still facing relentless waves of missiles and exploding drones.	[{'name': 'subject', 'value': 'Russian Invasion of Ukraine (2022)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Drones (Pilotless Planes)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Defense and Military Forces', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Ukraine', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Russia', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Kyiv (Ukraine)', 'rank': 6, 'major': 'N'}]	-0.431	0.9617282152175903	 -0.02
2023-01-01 23:06:57	Hundreds of thousands of supporters filled the central esplanade in Brazil’s capital, as President Luiz Inácio Lula da Silva waved to onlookers from his motorcade on the way to his inauguration ceremony.	[{'name': 'subject', 'value': 'Politics and Government', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Da Silva, Luiz Inacio Lula', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Brazil', 'rank': 3, 'major': 'N'}]	0.4404	0.9976339340209961	 0.88
2023-01-02 08:00:12	Extreme tactics have pushed the climate crisis to the top of the public discourse but also stirred debate over whether the activists are going too far.	[{'name': 'subject', 'value': 'Demonstrations, Protests and Riots', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Global Warming', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Germany', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Last Generation', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Green Party (Germany)', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Roads and Traffic', 'rank': 7, 'major': 'N'}]	-0.2846	0.9337716102600098	 -0.02
2023-01-02 09:16:42	An unidentified organism prompted Australia to block the vessel from docking, forcing passengers to skip a series of port stops.	[{'name': 'subject', 'value': 'Animals', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Water', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Travel and Vacations', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Invasive Species', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Fish and Other Marine Life', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Cruises', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'New Zealand', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'Australia', 'rank': 8, 'major': 'N'}]	-0.5423	0.9996254444122314	 -0.32
2023-01-02 10:50:56	The two craft crashed in midair in a tourist area on the Gold Coast, near a theme park. An investigation is underway, with a report expected to take weeks.	[{'name': 'subject', 'value': 'Helicopters', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Aviation Accidents, Safety and Disasters', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Fatalities)', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Australia', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Queensland (Australia)', 'rank': 5, 'major': 'N'}]	0.0	0.8544037938117981	 -0.50
2023-01-02 13:51:50	The pope emeritus is lying in state in St. Peter’s Basilica, where some 65,000 mourners, including Roman Catholic faithful and tourists, had paid last respects by Monday evening.	[{'name': 'subject', 'value': 'Funerals and Memorials', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Prayers and Prayer Books', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Roman Catholic Church', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Benedict XVI', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Vatican City', 'rank': 5, 'major': 'N'}]	-0.25	0.7953600883483887	 0.00
